Year,Status,Adult_Mortality,Alcohol,percentage_expenditure,BMI,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling,Life_expectancy
2013,Developing,328,2.41,20.62306285,22.3,4.99,79,4.8,185.793359,1515321,0.565,12.5,63
2007,Developing,181,7.24,69.63051047,45,4.76,96,0.6,4324.876427,29847,0.7,12.8,69.6
2013,Developed,67,10.49,703.5527332,61.3,8.1,96,0.1,5234.76736,4598294,0.902,18.6,81
2003,Developing,172,6.95,15.85781237,46.1,6.94,99,0.1,359.587582,182482149,0.699,14.8,71.8
2010,Developing,163,0.1,38.58376645,15.5,0.92,72,0.1,849.8626972,119591,0.599,12.4,66.9
2006,Developing,288,0.53,67.70920683,18.5,6.56,78,1.8,521.6425796,1322764,0.35,6.1,54.3
2009,Developing,155,5.39,30.93519548,45.6,9.14,85,0.1,2599.596259,6127837,0.663,12.1,73
2009,Developing,23,2.31,60.65068446,58,4.26,99,0.1,3369.48247,851967,0.704,14.5,68.9
2000,Developing,312,0.17,93.35872844,13.9,6.91,92,0.1,765.8632358,573416,0,7.3,62
2002,Developing,229,2.33,130.3784829,38.7,3.34,98,0.1,967.917468,4612,0,10.2,63.3
2009,Developing,78,9.08,372.6854142,63.1,9.76,99,0.1,2971.973,111717,0.857,16.2,80
2013,Developed,14,12.06,149.659879,64.5,7.93,95,0.1,7674.86559,7265115,0.781,14.4,74.1
2009,Developing,95,1.62,8.140373615,63,7.42,81,0.1,84.268878,4183156,0.746,13.2,74.7
2014,Developing,217,2.9,691.1333535,47.7,2.7,98,0.1,7962.365824,5466241,0.683,10.8,66
2007,Developing,295,0.02,10.91015598,15.2,6.73,63,0.1,369.835796,26616792,0.415,8.4,57.5
2002,Developing,124,5.86,27.46880965,56.3,7.18,95,0.1,488.768855,3327773,0.746,14.7,75.4
2004,Developing,186,7.91,12.94324581,29.2,4.17,99,0.1,1176.65871,82475,0.715,12.3,72.1
2008,Developing,126,8.41,1413.73543,58.6,6.66,93,0.1,8953.359275,4382389,0.792,16.3,75.4
2001,Developed,75,9.53,3064.301144,59,8.18,92,0.1,19517.84168,19413,0.899,20.5,79.9
2009,Developing,283,4.55,81.14304705,16.1,7.41,92,1.1,552.7455521,1514199,0.356,5.9,56.9
2000,Developing,149,0.54,23.37167228,26,3.4,98,0.1,445.17471,2318568,0.715,11.6,72.4
2011,Developed,58,7.4,11477.6671,57.7,11.7,98,0.1,59593.28711,9449213,0.901,16,81.7
2008,Developing,185,6.41,1902.693048,4.2,4.4,9,0.3,21188.11857,1315372,0.767,12.4,69.9
2004,Developed,91,12.05,5160.508378,59.8,9.32,95,0.1,35589.71295,1421137,0.88,18.8,78.8
2007,Developing,293,4.58,73.92730583,15.1,6.63,89,1.7,475.11122,1425221,0.334,4.9,55.3
2002,Developing,217,0.49,70.75572222,69.7,9.1,77,0.1,826.58554,87343,0,11.7,64.6
2001,Developing,141,2.86,53.19373012,47.4,5.94,94,0.1,694.435119,35655,0.644,11.1,72.6
2001,Developing,568,6.72,143.6197316,26.3,5.11,84,48.8,1437.634951,172927,0.506,9.3,47.1
2014,Developing,17,0.01,726.0291764,61.3,6.42,91,0.1,7378.345289,62181,0.803,15.1,75.9
2011,Developing,161,0.5,2.726570602,15.8,0.76,67,0.1,114.56179,1131523,0.607,12.5,67.2
2000,Developing,292,6,112.541157,43.9,4.16,97,0.1,1229.958,14883626,0.676,12.1,63.9
2013,Developing,268,0.01,73.21924272,18.1,8.13,64,0.1,631.744976,31731688,0.47,9.9,59.9
2006,Developed,81,12.4,69.92899358,53.2,1.35,83,0.1,443.99361,8268641,0.854,15,79.8
2010,Developing,118,6.21,2331.532804,61.2,8.63,95,0.1,11938.212,3374415,0.777,15.6,76.3
2012,Developing,174,5.93,857.1307037,55.8,4.26,85,0.4,5968.876767,115495,0.706,13.1,72.1
2009,Developing,271,1.76,30.72290501,24.9,5.17,94,2.1,186.76538,2393831,0.542,10.4,66
2000,Developing,218,2.79,353.6690328,45.3,8.17,99,0.4,2238.4116,5867626,0.607,11.3,69
2005,Developed,85,12.4,5992.588029,52.7,1.53,86,0.1,38242.4252,8227829,0.848,14.9,79.4
2009,Developing,276,0.59,84.63438925,2.2,6.85,73,1.6,697.153124,1466597,0.385,7.1,56
2003,Developing,648,1.99,5.300902041,26.4,7.13,9,33.8,63.636279,191897,0.44,10.5,45.5
2003,Developing,71,2.32,1731.755747,59.6,7.44,93,0.1,18946.99942,66897,0.863,16,79.7
2002,Developing,163,4.45,393.8773633,48.2,5.67,81,0.1,2355.725857,41572491,0.656,11.5,71.8
2012,Developing,223,0.01,188.7373664,21.9,3.7,97,0.6,2422.816,752967,0.581,12.3,68.7
2007,Developing,9,7.39,209.4875875,58.7,6.35,96,0.1,1526.87746,16491687,0.797,14.8,78.9
2002,Developing,22,1.85,206.071686,52.2,3.48,93,0.1,2259.55796,815691,0.687,13.3,67.9
2009,Developing,118,6.67,1871.736563,6.7,8.78,95,0.1,9415.17386,3362755,0.774,15.5,76.6
2007,Developing,151,0.01,46.36536703,13.5,2.8,94,0.1,541.651484,147139191,0.513,8.6,68.6
2011,Developing,92,4.64,7.959131146,53.7,9.71,88,0.1,55.156834,3688865,0.711,13.4,76.9
2011,Developing,186,0.99,229.6687488,47.2,5.8,99,0.1,1642.837974,539614,0.497,9.4,68.5
2007,Developing,173,3.83,253.0007812,47.9,6.91,93,0.2,1344.31871,552216,0.601,11,72.5
2012,Developing,123,0.01,285.6103912,49.7,5.37,89,0.1,7496.335728,9295784,0.742,11.8,71.9
2014,Developing,122,0.01,2700.07305,59.4,6.38,93,0.1,19941.45532,1314545,0.86,16.5,77.3
2001,Developing,221,1.93,20.7119129,51.2,3.28,91,0.1,238.891729,814218,0.683,13.2,67.8
2014,Developing,375,0.01,54.91159475,22.2,6.98,79,4.1,623.2871141,27212382,0.409,9.1,56.7
2005,Developing,81,9.95,2785.139364,6.5,9.36,96,0.1,22551.73574,1987314,0.839,15.6,79.3
2007,Developing,187,6.37,136.8836683,39.3,4.82,88,0.7,1653.1844,13926,0.76,12.4,69.7
2005,Developing,148,4.44,411.5645653,48.8,4.72,77,0.4,2754.7829,276141,0.692,13,72.8
2013,Developing,227,0.01,241.1958645,5.4,4.21,98,0.1,4385.379355,286917,0.72,14.7,68.1
2012,Developing,137,0.01,59.2589257,16.4,3.8,94,0.1,856.342857,15572753,0.557,9.9,77
2009,Developing,235,6.64,808.243302,48.5,4.13,98,0.1,7165.2775,169271,0.758,14.6,67.8
2010,Developing,144,3.01,434.7940679,72.5,5.7,62,0.1,3453.487434,18625,0.69,12.9,72.6
2012,Developing,65,0.01,1259.940376,24.1,9.16,99,0.1,6541.7465,385,0.675,12.1,77.6
2007,Developing,296,0.45,20.86878709,3.9,7.72,88,3.5,147.586896,8942,0.416,4.5,59.8
2003,Developing,169,4.17,24.99717134,68.2,4.71,83,0.1,197.29417,177662,0.659,12.3,79
2011,Developing,212,0.01,79.27658464,28.1,2.87,75,1.2,1393.261593,3717672,0.487,7.7,62.2
2009,Developing,288,0.82,20.53327531,44.2,4.36,73,1.1,1166.66337,6947447,0.477,9.2,61.6
2009,Developing,14,4.69,570.4532468,51.5,5.36,93,0.3,4166.93387,29157,0.706,13.3,73.8
2008,Developing,138,4.85,58.4989742,5.8,4.73,93,0.3,428.87811,2864198,0.7,13.2,73.9
2005,Developing,97,4.1,1002.833273,5.3,7.74,91,0.1,4697.11135,4247841,0.723,12.4,78.6
2001,Developing,188,6.13,340.0239945,44.1,5.59,72,2.5,2862.154836,8697126,0.656,12.3,71.2
2010,Developing,14,4.72,69.43934508,52.2,5.3,93,0.2,522.493191,29373646,0.708,13.3,73.7
2014,Developing,125,6.13,221.482875,55.3,7.42,91,0.1,4429.6575,3727,0.759,13.5,74.5
2003,Developing,166,3.48,155.5884677,44.5,4.56,96,2.3,3465.221998,2712511,0.694,11.9,73.1
2007,Developed,86,10.25,640.3560918,6.9,9.25,98,0.1,4443.83131,16257,0.871,15.8,79.5
2004,Developing,11,3.04,1.58668462,23.4,4.72,87,0.1,158.668462,129675,0.622,10.2,73.5
2006,Developing,148,1.79,503.5881956,7.1,5.61,88,0.1,2892.522663,11689,0.695,14.6,72.4
2000,Developing,257,4.49,7.883791474,54.8,5.59,99,0.7,635.789635,49175848,0.669,13.3,67.5
2002,Developing,199,4.99,262.8299189,42,4.38,89,0.1,3556.561825,26226,0.678,11.9,68.5
2011,Developed,128,10.93,250.0773782,59.1,6.7,99,0.1,13893.18768,3863255,0.829,15.4,76.7
2009,Developing,124,4.45,339.9777364,26.8,4.24,99,0.4,3444.5566,496963,0.621,12.4,72.4
2009,Developing,131,9.85,820.8109098,56.4,9.9,95,0.1,5821.35397,73287,0.754,13.6,74.1
2008,Developing,127,5.36,159.8772264,58.7,6.6,96,0.1,9689.52887,11366189,0.735,12.3,75.6
2003,Developing,231,0.4,3.824212472,15.2,1.97,78,0.5,219.782326,47624894,0.445,7.7,63.2
2014,Developed,138,12.03,153.1400362,65.1,8.44,88,0.1,7853.335191,7223938,0.787,14.8,74.3
2005,Developing,24,0.9,25.31155956,42.1,7.83,89,0.1,88.874858,469885,0.465,8.3,67.4
2004,Developing,432,1.43,36.29775249,15.9,4.29,73,13.2,458.8843551,3574931,0.461,8.9,53
2011,Developing,83,11.8,683.9190568,6.6,11.33,99,0.1,4381.288,65342776,0.882,16.1,81.7
2007,Developing,164,6.05,74.8217488,5.4,4.34,85,1.6,4647.31359,954353,0.685,12.7,72.9
2013,Developing,287,0.01,48.73047089,23.1,5.12,84,1.5,579.43485,742948,0.47,12,59.4
2011,Developing,12,8.11,1504.329462,6.4,5.89,91,0.1,12726.9836,41656879,0.816,17.1,75.7
2009,Developing,182,4.94,75.2256582,32.4,2.64,99,0.1,976.9566,87298,0.739,13.2,72.3
2014,Developing,125,0.01,973.728675,54.9,5.47,88,0.1,6491.5245,3973354,0.735,13.4,75.3
2014,Developing,123,9.09,8.617208431,59.4,1.37,93,0.1,62.173221,713576,0.771,14.3,75.4
2003,Developing,189,6.14,282.8364612,2.9,3.58,98,0.6,2358.93629,64554952,0.666,11.8,71.7
2007,Developing,282,12.19,11.02617159,56.1,5.38,98,0.3,911.25385,1428588,0.761,13.8,67.3
2012,Developing,123,5.29,112.696486,61.5,6.21,99,0.1,982.532572,1282837,0.748,12.7,76.3
